Task arrival date_act1,Task arrival date_act2,Task arrival date_act3,Task arrival date_act4,Task arrival date_act5,Task arrival date_act6,Task arrival date_act7,Actvity ID_act1,Actvity ID_act2,Actvity ID_act3,Actvity ID_act4,Actvity ID_act5,Actvity ID_act6,Actvity ID_act7,Task Executer_act1,Task Executer_act2,Task Executer_act3,Task Executer_act4,Task Executer_act5,Task Executer_act6,Task Executer_act7,Task executer department_act1,Task executer department_act2,Task executer department_act3,Task executer department_act4,Task executer department_act5,Task executer department_act6,Task executer department_act7,Task Type_act1,Task Type_act2,Task Type_act3,Task Type_act4,Task Type_act5,Task Type_act6,Task Type_act7,Action_act1,Action_act2,Action_act3,Action_act4,Action_act5,Action_act6,Action_act7,idBPMApplicationAction_act1,idBPMApplicationAction_act2,idBPMApplicationAction_act3,idBPMApplicationAction_act4,idBPMApplicationAction_act5,idBPMApplicationAction_act6,idBPMApplicationAction_act7,Period between arrival and execution_act1,Period between arrival and execution_act2,Period between arrival and execution_act3,Period between arrival and execution_act4,Period between arrival and execution_act5,Period between arrival and execution_act6,Period between arrival and execution_act7,Period between arrival and capture_act1,Period between arrival and capture_act2,Period between arrival and capture_act3,Period between arrival and capture_act4,Period between arrival and capture_act5,Period between arrival and capture_act6,Period between arrival and capture_act7,Cumulative Length of Process_act1,Cumulative Length of Process_act2,Cumulative Length of Process_act3,Cumulative Length of Process_act4,Cumulative Length of Process_act5,Cumulative Length of Process_act6,Cumulative Length of Process_act7,Overdue Days_act1,Overdue Days_act2,Overdue Days_act3,Overdue Days_act4,Overdue Days_act5,Overdue Days_act6,Overdue Days_act7,Role ID_act1,Role ID_act2,Role ID_act3,Role ID_act4,Role ID_act5,Role ID_act6,Role ID_act7,Years in Org Position_act1,Years in Org Position_act2,Years in Org Position_act3,Years in Org Position_act4,Years in Org Position_act5,Years in Org Position_act6,Years in Org Position_act7,Age_act1,Age_act2,Age_act3,Age_act4,Age_act5,Age_act6,Age_act7,idBPMRequirement_act1,idBPMRequirement_act2,idBPMRequirement_act3,idBPMRequirement_act4,idBPMRequirement_act5,idBPMRequirement_act6,idBPMRequirement_act7,Target,NumberOfFemales,NumberOfManagers,NumberOfOutsourcers,NumberOfRejections,Value Count,idField_203,idField_3486,idField_3388,idField_3391,idField_3390,idField_3491,idField_3420,idField_3935,idField_47,idField_1602,idField_1604,Value_10,Value_50,Value_30,Value_70,Value_20,Value_100,Value_60,Value_2,Value_40,Value_1,Value_80,Value_90,Actvity ID_last_act8,Task arrival date_last_act8
2022-05-18 10:08:59.030,2022-05-18 10:09:08.170,2022-05-18 12:14:07.533,2022-05-18 12:52:10.403,2022-05-18 13:33:29.900,2022-05-18 16:11:41.473,2022-05-19 11:33:42.433,100,105,101,105,101,105,101,6797,9083,6797,9083,6797,9083,6797,6797,9083,6797,9083,6797,9083,6797,Initial Request,Execution,Requester response to rejection,Execution,Requester response to rejection,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,271,272,271,272,271,272,0,2,0,0,2,19,1,0,0,0,0,1,19,0,1,2,3,4,5,6,7,0,0,0,0,0,0,0,5,59,5,59,5,59,5,10,5,10,5,10,5,10,65,52,65,52,65,52,65,Non applicable,300,Non applicable,300,Non applicable,300,Non applicable,3,0,7,0,3,5,1,1,1,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,105,2022-05-19 12:41:45.883
2022-05-27 17:43:15.227,2022-05-27 17:43:16.557,2022-06-02 11:50:07.373,2022-06-02 12:59:22.047,2022-06-02 13:05:56.873,2022-06-03 15:47:04.150,2022-06-03 16:57:43.127,100,102,101,102,101,102,101,935,4960,935,4960,935,4960,935,935,4960,935,4960,935,4960,935,Initial Request,Execution,Requester response to rejection,Execution,Requester response to rejection,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,271,272,271,272,271,272,0,138,1,0,26,1,0,0,138,0,0,26,0,0,1,2,3,4,5,6,7,0,2,0,0,0,0,0,5,21,5,21,5,21,5,2,0,2,0,2,0,2,45,46,45,46,45,46,45,Non applicable,183,Non applicable,183,Non applicable,183,Non applicable,2,3,4,3,3,7,1,1,1,1,1,1,1,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,102,2022-06-03 17:13:22.217
2022-06-15 11:52:35.483,2022-06-15 11:52:36.080,2022-06-15 12:52:32.940,2022-06-21 05:05:51.153,2022-06-23 11:19:03.320,2022-06-23 11:21:35.847,2022-06-23 11:51:08.813,100,105,106,105,101,105,101,10392,9083,4322,10272,10392,10272,10392,10392,9083,4322,10272,10392,10272,10392,Initial Request,Execution,Execution,Execution,Requester response to rejection,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,273,273,271,272,271,272,0,0,136,54,0,0,0,0,0,136,6,0,0,0,1,2,3,4,5,6,7,0,0,5,1,0,0,0,5,59,21,32,5,32,5,7,5,0,2,7,2,7,50,52,57,52,50,52,50,Non applicable,Non applicable,Non applicable,300,Non applicable,300,Non applicable,0,6,6,1,2,5,1,1,1,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,105,2022-06-23 12:32:04.323
2022-07-01 16:31:07.930,2022-07-01 16:31:09.837,2022-07-30 10:27:27.197,2022-08-01 11:51:52.797,2022-08-04 18:21:14.543,2022-08-08 05:11:37.127,2022-08-08 08:16:39.897,100,102,103,104,102,103,104,9342,4322,10606,10128,4322,10606,10128,9342,4322,10606,10128,4322,10606,10128,Initial Request,Execution,Execution,Execution,Execution,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,273,300,279,273,300,279,0,689,49,78,82,3,9,0,530,49,3,82,3,8,1,2,3,4,5,6,7,0,25,0,2,2,0,0,5,21,11,3,21,11,3,2,0,1,1,0,1,1,56,57,49,53,57,49,53,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,2,4,5,2,0,7,1,1,1,1,1,1,1,0,0,0,0,2,0,1,0,2,1,0,0,0,0,0,0,102,2022-08-08 17:18:40.410
2022-07-05 13:14:57.353,2022-07-05 13:14:58.727,2022-07-05 13:35:32.920,2022-07-05 13:57:13.833,2022-07-06 13:54:49.060,2022-07-07 14:52:31.497,2022-07-07 15:18:02.883,100,105,101,105,106,105,106,9391,9083,9391,9083,4960,9083,4960,9391,9083,9391,9083,4960,9083,4960,Initial Request,Execution,Requester response to rejection,Execution,Execution,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,271,272,273,273,273,273,0,0,0,23,24,0,17,0,0,0,0,24,0,17,1,2,3,4,5,6,7,0,0,0,0,0,0,0,1,59,1,59,21,59,21,1,5,1,5,0,5,0,53,52,53,52,46,52,46,Non applicable,300,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,3,2,5,2,1,5,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,105,2022-07-08 08:54:02.790
2022-07-06 10:58:00.637,2022-07-06 10:58:01.323,2022-07-11 08:57:23.607,2022-07-11 10:14:55.993,2022-07-19 17:14:40.963,2022-07-19 17:30:31.133,2022-07-22 11:01:41.557,100,102,101,102,101,102,101,8239,4960,8239,4960,8239,4960,8239,8239,4960,8239,4960,8239,4960,8239,Initial Request,Execution,Requester response to rejection,Execution,Requester response to rejection,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,271,272,271,272,271,272,0,117,1,198,0,65,1,0,117,1,198,0,65,0,1,2,3,4,5,6,7,0,3,0,7,0,1,0,6,21,6,21,6,21,6,4,0,4,0,4,0,4,58,46,58,46,58,46,58,Non applicable,183,Non applicable,183,Non applicable,183,Non applicable,2,3,4,3,3,7,1,1,1,1,1,1,1,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,102,2022-07-22 12:16:13.710
2022-07-06 12:04:27.530,2022-07-06 12:04:28.780,2022-07-11 09:58:16.163,2022-07-11 12:31:48.830,2022-07-23 16:06:20.103,2022-07-26 01:33:50.387,2022-07-27 09:34:19.030,100,102,101,102,103,102,103,8239,4731,8239,4960,10606,4960,73,8239,4731,8239,4960,10606,4960,73,Initial Request,Execution,Requester response to rejection,Execution,Execution,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,271,272,273,278,273,278,0,117,2,291,57,32,6,0,117,2,291,57,31,6,1,2,3,4,5,6,7,0,3,0,11,0,0,0,6,21,6,21,11,21,8,4,1,4,0,1,0,2,58,52,58,46,49,46,53,Non applicable,300,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,2,4,4,3,1,7,1,1,1,1,1,1,1,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,102,2022-07-27 16:10:45.753
2022-07-12 09:33:32.820,2022-07-12 09:33:33.570,2022-07-16 10:40:36.190,2022-07-18 08:45:51.197,2022-07-18 13:27:47.163,2022-07-18 15:04:36.253,2022-07-19 08:39:37.417,100,102,101,102,101,102,101,1591,4960,1591,4960,1591,4960,1591,1591,4960,1591,4960,1591,4960,1591,Initial Request,Execution,Requester response to rejection,Execution,Requester response to rejection,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,271,272,271,272,271,272,0,97,46,4,1,17,0,0,97,46,4,1,17,0,1,2,3,4,5,6,7,0,3,0,0,0,0,0,1,21,1,21,1,21,1,0,0,0,0,0,0,0,32,46,32,46,32,46,32,Non applicable,183,Non applicable,183,Non applicable,183,Non applicable,0,7,4,3,3,5,1,1,1,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,102,2022-07-19 08:54:20.250
2022-08-01 12:39:31.647,2022-08-01 12:39:32.820,2022-08-02 16:01:26.040,2022-08-02 21:20:07.210,2022-08-03 17:21:03.520,2022-08-04 14:43:40.977,2022-08-04 16:50:21.250,100,102,103,104,102,103,104,10771,4960,10606,10771,5268,10606,10771,10771,4960,10606,10771,5268,10606,10771,Initial Request,Execution,Execution,Execution,Execution,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,273,300,279,273,300,279,0,27,5,20,21,2,0,0,27,5,20,21,1,0,1,2,3,4,5,6,7,0,0,0,0,0,0,0,6,21,11,6,21,11,6,3,0,1,3,1,1,3,51,46,49,51,54,49,51,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,2,6,5,2,0,6,1,1,1,1,0,1,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,102,2022-08-04 17:00:38.067
2022-09-07 16:42:55.880,2022-09-07 16:42:56.350,2022-09-08 14:49:24.837,2022-09-08 17:04:02.577,2022-09-09 11:50:34.847,2022-09-09 11:58:47.547,2022-09-14 12:38:16.290,100,102,103,104,107,102,101,6977,4731,10925,6977,6977,4731,6977,6977,4731,10925,6977,6977,4731,6977,Initial Request,Execution,Execution,Execution,Final task,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,Task executed with success,Non identifiable,Non identifiable,Non identifiable,270,273,300,282,278,271,272,0,22,2,18,0,120,1,0,22,2,15,0,120,0,1,2,3,4,5,6,7,0,0,0,0,0,2,0,5,21,8,5,5,21,5,11,1,2,11,11,1,11,57,52,53,57,57,52,57,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,300,Non applicable,2,7,5,2,1,6,1,1,1,1,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,102,2022-09-14 14:17:22.347
2022-09-15 16:46:59.113,2022-09-15 16:47:02.817,2022-09-16 13:57:47.823,2022-09-16 16:10:38.630,2022-09-16 17:19:57.267,2022-09-19 10:47:44.807,2022-09-19 12:30:21.363,100,105,101,105,101,105,106,510,9083,510,10027,510,9083,4322,510,9083,510,10027,510,9083,4322,Initial Request,Execution,Requester response to rejection,Execution,Requester response to rejection,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,271,272,271,272,273,273,0,21,2,1,65,1,320,0,21,0,1,64,1,320,1,2,3,4,5,6,7,0,0,0,0,0,0,13,5,59,5,59,5,59,21,1,5,1,5,1,5,0,45,52,45,48,45,52,57,Non applicable,300,Non applicable,300,Non applicable,Non applicable,Non applicable,3,4,6,1,2,5,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,105,2022-10-02 20:57:50.117
2022-09-23 14:24:49.030,2022-09-23 14:24:51.827,2022-09-25 11:55:26.707,2022-09-25 11:58:37.910,2022-09-27 08:30:39.397,2022-09-27 15:11:29.773,2022-09-27 15:19:46.300,100,102,103,104,102,103,104,11136,3791,10606,7230,4731,10606,11136,11136,3791,10606,7230,4731,10606,11136,Initial Request,Execution,Execution,Execution,Execution,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,273,300,279,273,300,279,0,45,0,44,6,0,1,0,45,0,20,6,0,1,1,2,3,4,5,6,7,0,0,0,0,0,0,0,5,21,11,12,21,11,5,10,0,1,1,1,1,10,46,36,49,60,52,49,46,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,2,6,5,2,0,7,1,1,1,1,1,1,1,0,0,0,0,2,1,1,0,0,1,1,0,0,0,0,0,102,2022-09-27 16:58:51.277
2022-10-27 09:34:09.977,2022-10-27 09:34:11.023,2022-10-28 16:32:33.483,2022-10-28 17:12:17.630,2022-11-15 08:45:24.717,2022-11-15 10:23:36.767,2022-11-15 15:38:13.650,100,102,103,104,102,102,103,10285,4960,10606,10285,5268,3791,10606,10285,4960,10606,10285,5268,3791,10606,Initial Request,Execution,Execution,Execution,Execution,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,273,300,279,301,273,278,0,30,0,423,1,5,1,0,30,0,423,1,4,1,1,2,3,4,5,6,7,0,0,0,14,0,0,0,6,21,11,6,21,21,11,2,0,1,2,1,0,1,48,46,49,48,54,36,49,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,2,6,4,3,0,7,1,1,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,1,102,2022-11-15 16:44:22.223
2022-11-07 09:33:55.790,2022-11-07 09:33:56.273,2022-11-08 10:42:17.757,2022-11-16 09:24:30.320,2022-11-16 10:01:47.703,2022-11-16 10:26:42.183,2022-11-16 16:14:26.530,100,102,108,103,104,102,103,1073,4960,4322,10606,1073,4731,10606,1073,4960,4322,10606,1073,4731,10606,Initial Request,Execution,Execution,Execution,Execution,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,274,273,300,279,273,278,0,25,190,0,0,5,3,0,24,190,0,0,5,2,1,2,3,4,5,6,7,0,0,0,0,0,0,0,5,21,21,11,5,21,11,2,0,0,1,2,1,1,40,46,57,49,40,52,49,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,2,7,4,3,0,6,1,1,1,1,0,1,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,102,2022-11-16 19:15:08.820
2022-11-09 08:56:28.110,2022-11-09 08:56:28.687,2022-11-10 14:29:58.003,2022-11-10 15:12:01.970,2022-11-14 09:45:14.290,2022-11-14 15:35:30.980,2022-11-14 16:41:58.330,100,102,103,104,102,103,104,9303,Robot,10606,11251,3791,10606,11251,9303,Non identifiable,10606,11251,3791,10606,11251,Initial Request,Execution,Execution,Execution,Execution,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,273,300,279,273,300,279,0,29,0,90,5,1,0,0,29,0,0,5,1,0,1,2,3,4,5,6,7,0,0,0,2,0,0,0,5,0,11,5,21,11,5,1,0,1,2,0,1,2,58,0,49,49,36,49,49,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,2,6,5,2,0,6,1,1,1,1,0,1,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,102,2022-11-14 17:06:12.523
2022-11-22 14:16:20.097,2022-11-22 14:16:21.503,2022-11-22 14:36:22.253,2022-11-22 14:44:23.653,2022-11-24 10:27:56.947,2022-11-24 12:06:04.293,2022-11-24 12:20:26.830,100,102,103,104,107,102,102,334,4731,10606,9437,334,Robot,Robot,334,4731,10606,9437,334,Non identifiable,Non identifiable,Initial Request,Execution,Execution,Execution,Final task,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,Task executed with success,Non identifiable,Task returned to team,Non identifiable,270,273,300,282,278,290,301,0,0,0,43,1,0,2,0,0,0,0,1,0,0,1,2,3,4,5,6,7,0,0,0,0,0,0,0,5,21,11,3,5,0,0,7,1,1,4,7,0,0,46,52,49,54,46,0,0,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,2,4,4,3,0,6,1,1,1,1,0,1,1,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,102,2022-11-24 14:54:58.140
2022-11-28 11:38:55.470,2022-11-28 11:39:01.470,2022-11-28 12:10:05.900,2022-11-28 18:46:12.277,2022-11-29 09:45:51.200,2022-11-29 13:27:43.300,2022-11-29 15:30:59.937,100,102,103,104,102,103,104,1001,4960,10606,1001,4960,10925,1001,1001,4960,10606,1001,4960,10925,1001,Initial Request,Execution,Execution,Execution,Execution,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,273,300,279,273,300,279,0,0,6,14,3,2,1,0,0,6,14,3,2,1,1,2,3,4,5,6,7,0,0,0,0,0,0,0,5,21,11,5,21,8,5,4,0,1,4,0,2,4,44,46,49,44,46,53,44,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,2,7,5,2,0,6,1,1,1,1,0,1,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,102,2022-11-29 16:45:00.620
2022-12-05 11:14:59.710,2022-12-05 11:15:01.723,2022-12-05 11:49:32.530,2022-12-05 14:45:30.837,2022-12-05 16:31:29.957,2022-12-05 17:19:58.687,2022-12-06 19:16:39.270,100,102,103,104,107,102,103,10085,Robot,10925,10085,10085,4322,73,10085,Non identifiable,10925,10085,10085,4322,73,Initial Request,Execution,Execution,Execution,Final task,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,Task executed with success,Non identifiable,Non identifiable,Non identifiable,270,273,300,282,278,273,278,0,0,2,1,0,25,18,0,0,2,1,0,25,18,1,2,3,4,5,6,7,0,0,0,0,0,0,0,5,0,8,5,5,21,8,4,0,2,4,4,0,2,58,0,53,58,58,57,53,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,1,5,5,2,0,6,1,1,1,1,0,1,1,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,102,2022-12-07 13:56:36.520
2022-12-05 16:37:16.530,2022-12-05 16:37:24.373,2022-12-09 13:37:01.743,2022-12-12 11:09:34.343,2022-12-14 16:35:51.130,2022-12-15 09:25:42.370,2022-12-15 13:44:39.887,100,105,101,105,101,105,101,1109,9083,1109,10027,1109,10027,1109,1109,9083,1109,10027,1109,10027,1109,Initial Request,Execution,Requester response to rejection,Execution,Requester response to rejection,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,271,272,271,272,271,272,0,92,69,53,16,4,0,0,21,69,4,0,4,0,1,2,3,4,5,6,7,0,2,0,1,0,0,0,8,59,8,59,8,59,8,0,5,0,5,0,5,0,41,52,41,48,41,48,41,Non applicable,300,Non applicable,300,Non applicable,300,Non applicable,3,4,7,0,3,5,1,1,1,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,105,2022-12-15 14:06:35.070
